"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.2603",24959.3548955423,22737.5782306726,27181.1315604119,21561.4407094006,28357.2690816839,2015-04-06
"2015.2630",25001.4687993563,22779.6921344866,27223.2454642259,21603.5546132147,28399.3829854979,2015-04-07
"2015.2658",25035.0846530282,22813.3079881586,27256.8613178978,21637.1704668866,28432.9988391698,2015-04-08
"2015.2685",25054.105940381,22832.3292755113,27275.8826052506,21656.1917542393,28452.0201265226,2015-04-09
"2015.2712",25052.6603737566,22830.8837088869,27274.4370386262,21654.746187615,28450.5745598982,2015-04-10
"2015.2740",25025.4687828585,22803.6921179889,27247.2454477282,21627.5545967169,28423.3829690002,2015-04-11
"2015.2767",24968.1974708676,22746.420805998,27189.9741357373,21570.283284726,28366.1116570093,2015-04-12
"2015.2795",24877.7721296658,22655.9954647962,27099.5487945355,21479.8579435242,28275.6863158074,2015-04-13
"2015.2822",24752.6332628485,22530.8565979789,26974.4099277182,21354.7190767069,28150.5474489901,2015-04-14
"2015.2849",24592.9162002489,22371.1395353793,26814.6928651185,21195.0020141073,27990.8303863905,2015-04-15
"2015.2877",24400.543008434,22178.7663435644,26622.3196733037,21002.6288222924,27798.4571945757,2015-04-16
"2015.2904",24179.2186455767,21957.4419807071,26400.9953104463,20781.3044594351,27577.1328317183,2015-04-17
"2015.2932",23934.3292614892,21712.5525966196,26156.1059263589,20536.4150753476,27332.2434476308,2015-04-18
"2015.2959",23672.7462583965,21450.9695935268,25894.5229232661,20274.8320722549,27070.6604445381,2015-04-19
"2015.2986",23402.5452507559,21180.7685858862,25624.3219156255,20004.6310646143,26800.4594368975,2015-04-20
"2015.3014",23132.6540533306,20910.8773884609,25354.4307182002,19734.739867189,26530.5682394722,2015-04-21
"2015.3041",22872.4479825069,20650.6713176373,25094.2246473765,19474.5337963653,26270.3621686485,2015-04-22
"2015.3068",22631.3138287946,20409.537163925,24853.0904936642,19233.399642653,26029.2280149362,2015-04-23
"2015.3096",22418.2056714735,20196.4290066038,24639.9823363431,19020.2914853319,25816.1198576151,2015-04-24
"2015.3123",22241.2161631656,20019.4394982959,24462.9928280352,18843.301977024,25639.1303493072,2015-04-25
"2015.3151",22107.1860018992,19885.4093370295,24328.9626667688,18709.2718157576,25505.1001880408,2015-04-26
"2015.3178",22021.3721046186,19799.595439749,24243.1487694883,18623.457918477,25419.2862907602,2015-04-27
"2015.3205",21987.1916506521,19765.4149857825,24208.9683155217,18589.2774645105,25385.1058367937,2015-04-28
"2015.3233",22006.0548944811,19784.2782296114,24227.8315593507,18608.1407083395,25403.9690806227,2015-04-29
"2015.3260",22077.2947234559,19855.5180585862,24299.0713883255,18679.3805373143,25475.2089095975,2015-04-30
"2015.3288",22198.1956598473,19976.4189949777,24419.972324717,18800.2814737057,25596.1098459889,2015-05-01
"2015.3315",22364.1196926956,20142.343027826,24585.8963575652,18966.205506554,25762.0338788372,2015-05-02
"2015.3342",22568.721281007,20346.9446161374,24790.4979458766,19170.8070948654,25966.6354671486,2015-05-03
"2015.3370",22804.2393775398,20582.4627126702,25026.0160424095,19406.3251913982,26202.1535636814,2015-05-04
"2015.3397",23061.8506205939,20840.0739557242,25283.6272854635,19663.9364344523,26459.7648067355,2015-05-05
"2015.3425",23332.0651128915,21110.2884480219,25553.8417777611,19934.1509267499,26729.9792990331,2015-05-06
"2015.3452",23605.1445698746,21383.367905005,25826.9212347443,20207.230383733,27003.0587560162,2015-05-07
"2015.3479",23871.5221231714,21649.7454583017,26093.298788041,20473.6079370298,27269.436309313,2015-05-08
"2015.3507",24122.2036879682,21900.4270230986,26343.9803528378,20724.2895018266,27520.1178741098,2015-05-09
"2015.3534",24349.1324602601,22127.3557953905,26570.9091251297,20951.2182741185,27747.0466464017,2015-05-10
"2015.3562",24545.5006600426,22323.723995173,26767.2773249122,21147.586473901,27943.4148461842,2015-05-11
"2015.3589",24705.9958936485,22484.2192287789,26927.7725585181,21308.0817075069,28103.9100797901,2015-05-12
"2015.3616",24826.9732563364,22605.1965914667,27048.749921206,21429.0590701947,28224.887442478,2015-05-13
"2015.3644",24906.5483032176,22684.771638348,27128.3249680872,21508.634117076,28304.4624893592,2015-05-14
"2015.3671",24944.6100507152,22722.8333858456,27166.3867155849,21546.6958645736,28342.5242368568,2015-05-15
"2015.3699",24942.7570139607,22720.9803490911,27164.5336788303,21544.8428278191,28340.6712001023,2015-05-16
"2015.3726",24904.1627460915,22682.3860812219,27125.9394109612,21506.2485599499,28302.0769322331,2015-05-17
"2015.3753",24833.38026753,22611.6036026604,27055.1569323996,21435.4660813884,28231.2944536716,2015-05-18
"2015.3781",24736.0970438723,22514.3203790026,26957.8737087419,21338.1828577307,28134.0112300139,2015-05-19
"2015.3808",24618.8537228566,22397.077057987,26840.6303877262,21220.939536715,28016.7679089982,2015-05-20
"2015.3836",24488.7406528762,22266.9639880066,26710.5173177459,21090.8264667346,27886.6548390178,2015-05-21
"2015.3863",24353.086299551,22131.3096346814,26574.8629644206,20955.1721134094,27751.0004856926,2015-05-22
"2015.3890",24219.1511122678,21997.3744473981,26440.9277771374,20821.2369261261,27617.0652984094,2015-05-23
"2015.3918",24093.839258498,21872.0625936283,26315.6159233676,20695.9250723564,27491.7534446396,2015-05-24
