"","x","values"
"297",35886.3,2014-10-24
"298",35579.5,2014-10-25
"299",32173.4,2014-10-26
"300",30908.7,2014-10-27
"301",30925.9,2014-10-28
"302",31263.4,2014-10-29
"303",32539.3,2014-10-30
"304",35513,2014-10-31
"305",35292.9,2014-11-01
"306",32477.3,2014-11-02
"307",31483.1,2014-11-03
"308",30990.4,2014-11-04
"309",32224.8,2014-11-05
"310",35004,2014-11-06
"311",36565.8,2014-11-07
"312",36687,2014-11-08
"313",34108.6,2014-11-09
"314",32315.7,2014-11-10
"315",33152.4,2014-11-11
"316",33365.2,2014-11-12
"317",33700.1,2014-11-13
"318",33688.3,2014-11-14
"319",34308.3,2014-11-15
"320",32600.7,2014-11-16
"321",31779,2014-11-17
"322",33990,2014-11-18
"323",35473,2014-11-19
"324",36822.4,2014-11-20
"325",37359.5,2014-11-21
"326",37144.9,2014-11-22
"327",36755.2,2014-11-23
"328",34747.6,2014-11-24
"329",34094.6,2014-11-25
"330",36264.2,2014-11-26
"331",37411.1,2014-11-27
"332",37105.4,2014-11-28
"333",36641.8,2014-11-29
"334",36532.6,2014-11-30
"335",36804.2,2014-12-01
"336",38192.1,2014-12-02
"337",38406.2,2014-12-03
"338",39896.9,2014-12-04
"339",39653.4,2014-12-05
"340",39829.7,2014-12-06
"341",37354,2014-12-07
"342",34634.5,2014-12-08
"343",36048,2014-12-09
"344",39921.4,2014-12-10
"345",35595.1,2014-12-11
"346",35697.4,2014-12-12
"347",37162.5,2014-12-13
"348",35849.5,2014-12-14
"349",36562.2,2014-12-15
"350",35442.5,2014-12-16
"351",37822.6,2014-12-17
"352",37843.7,2014-12-18
"353",39050.4,2014-12-19
"354",36166.2,2014-12-20
"355",34968.5,2014-12-21
"356",36266.3,2014-12-22
"357",35672.5,2014-12-23
"358",35837.3,2014-12-24
"359",36222,2014-12-25
"360",37467.1,2014-12-26
"361",40598.5,2014-12-27
"362",40232.4,2014-12-28
"363",41954,2014-12-29
"364",43038.9,2014-12-30
"365",41371,2014-12-31
