"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.0822",44659.6495841062,41742.2749459845,47577.0242222279,40197.9101006082,49121.3890676043,2015-01-31
"2015.0849",44504.4382640237,41587.0636259019,47421.8129021454,40042.6987805256,48966.1777475217,2015-02-01
"2015.0877",44317.0354665089,41399.6608283871,47234.4101046306,39855.2959830108,48778.774950007,2015-02-02
"2015.0904",44100.2933979283,41182.9187598065,47017.66803605,39638.5539144301,48562.0328814264,2015-02-03
"2015.0932",43857.3738327513,40939.9991946295,46774.748470873,39395.6343492532,48319.1133162494,2015-02-04
"2015.0959",43591.7008154445,40674.3261773228,46509.0754535663,39129.9613319464,48053.4402989426,2015-02-05
"2015.0986",43306.9102339338,40389.5355958121,46224.2848720556,38845.1707504357,47768.6497174319,2015-02-06
"2015.1014",43006.7970011279,40089.4223630062,45924.1716392496,38545.0575176298,47468.536484626,2015-02-07
"2015.1041",42695.2605569937,39777.885918872,45612.6351951154,38233.5210734956,47157.0000404918,2015-02-08
"2015.1068",42376.249466423,39458.8748283012,45293.6241045447,37914.5099829249,46837.9889499211,2015-02-09
"2015.1096",42053.7059476753,39136.3313095535,44971.080585797,37591.9664641771,46515.4454311734,2015-02-10
"2015.1123",41731.5111830179,38814.1365448961,44648.8858211396,37269.7716995197,46193.250666516,2015-02-11
"2015.1151",41413.4322410875,38496.0576029658,44330.8068792092,36951.6927575894,45875.1717245856,2015-02-12
"2015.1178",41103.0713971847,38185.696759063,44020.4460353064,36641.3319136866,45564.8108806828,2015-02-13
"2015.1205",40803.8185854507,37886.443947329,43721.1932235725,36342.0791019526,45265.5580689489,2015-02-14
"2015.1233",40518.8076588406,37601.4330207188,43436.1822969623,36057.0681753425,44980.5471423387,2015-02-15
"2015.1260",40250.8770674545,37333.5024293328,43168.2517055763,35789.1375839564,44712.6165509526,2015-02-16
"2015.1288",40002.5354915313,37085.1608534095,42919.910129653,35540.7960080331,44464.2749750294,2015-02-17
"2015.1315",39775.9328824233,36858.5582443015,42693.307520545,35314.1933989251,44237.6723659214,2015-02-18
"2015.1342",39572.8372747781,36655.4626366564,42490.2119128999,35111.09779128,44034.5767582762,2015-02-19
"2015.1370",39394.617638025,36477.2429999032,42311.9922761467,34932.8781545269,43856.3571215231,2015-02-20
"2015.1397",39242.2329370525,36324.8582989308,42159.6075751743,34780.4934535544,43703.9724205506,2015-02-21
"2015.1425",39116.2274723601,36198.8528342384,42033.6021104819,34654.487988862,43577.9669558583,2015-02-22
"2015.1452",39016.7324705256,36099.3578324038,41934.1071086473,34554.9929870274,43478.4719540237,2015-02-23
"2015.1479",38943.4737981001,36026.0991599784,41860.8484362219,34481.734314602,43405.2132815982,2015-02-24
"2015.1507",38895.7855775731,35978.4109394513,41813.1602156948,34434.046094075,43357.5250610712,2015-02-25
"2015.1534",38872.6293943515,35955.2547562297,41790.0040324732,34410.8899108533,43334.3688778496,2015-02-26
"2015.1562",38872.6187002214,35955.2440620996,41789.9933383431,34410.8792167232,43334.3581837195,2015-02-27
"2015.1589",38894.0479427925,35976.6733046708,41811.4225809143,34432.3084592944,43355.7874262906,2015-02-28
"2015.1616",38934.9258831416,36017.5512450198,41852.3005212633,34473.1863996434,43396.6653666397,2015-03-01
"2015.1644",38993.0125062546,36075.6378681328,41910.3871443763,34531.2730227565,43454.7519897527,2015-03-02
"2015.1671",39065.8588817499,36148.4842436282,41983.2335198717,34604.1193982518,43527.598365248,2015-03-03
"2015.1699",39150.8492963742,36233.4746582524,42068.2239344959,34689.109812876,43612.5887798723,2015-03-04
"2015.1726",39245.2449553553,36327.8703172335,42162.619593477,34783.5054718571,43706.9844388534,2015-03-05
"2015.1753",39346.2285371102,36428.8538989884,42263.6031752319,34884.489053612,43807.9680206083,2015-03-06
"2015.1781",39450.9488850825,36533.5742469608,42368.3235232043,34989.2094015844,43912.6883685807,2015-03-07
"2015.1808",39556.5651314748,36639.1904933531,42473.9397695965,35094.8256479767,44018.3046149729,2015-03-08
"2015.1836",39660.289569979,36742.9149318573,42577.6642081008,35198.5500864809,44122.0290534771,2015-03-09
"2015.1863",39759.4286277685,36842.0539896468,42676.8032658903,35297.6891442704,44221.1681112667,2015-03-10
"2015.1890",39851.4213302666,36934.0466921449,42768.7959683884,35389.6818467685,44313.1608137648,2015-03-11
"2015.1918",39933.874704685,37016.5000665632,42851.2493428067,35472.1352211868,44395.6141881831,2015-03-12
"2015.1945",40004.5956290016,37087.2209908799,42921.9702671234,35542.8561455035,44466.3351124997,2015-03-13
"2015.1973",40061.6187007811,37144.2440626594,42978.9933389029,35599.879217283,44523.3581842793,2015-03-14
"2015.2000",40103.2297737767,37185.855135655,43020.6044118985,35641.4902902786,44564.9692572748,2015-03-15
"2015.2027",40127.9848882683,37210.6102501466,43045.3595263901,35666.2454047702,44589.7243717665,2015-03-16
"2015.2055",40134.7244021956,37217.3497640738,43052.0990403173,35672.9849186974,44596.4638856937,2015-03-17
"2015.2082",40122.5822129186,37205.2075747969,43039.9568510404,35660.8427294205,44584.3216964168,2015-03-18
"2015.2110",40090.9900424644,37173.6154043427,43008.3646805862,35629.2505589663,44552.7295259626,2015-03-19
"2015.2137",40039.6768409754,37122.3022028537,42957.0514790972,35577.9373574773,44501.4163244735,2015-03-20
"2015.2164",39968.6634424153,37051.2888042935,42886.038080537,35506.9239589171,44430.4029259134,2015-03-21
"2015.2192",39878.2526820954,36960.8780439736,42795.6273202171,35416.5131985972,44339.9921655935,2015-03-22
"2015.2219",39769.015256055,36851.6406179333,42686.3898941768,35307.2757725569,44230.7547395532,2015-03-23
"2015.2247",39641.7716666514,36724.3970285297,42559.1463047732,35180.0321831533,44103.5111501496,2015-03-24
"2015.2274",39497.5706559084,36580.1960177867,42414.9452940302,35035.8311724103,43959.3101394065,2015-03-25
"2015.2301",39337.6645773922,36420.2899392704,42255.0392155139,34875.925093894,43799.4040608903,2015-03-26
"2015.2329",39163.4821979366,36246.1075598149,42080.8568360584,34701.7427144385,43625.2216814347,2015-03-27
"2015.2356",38976.5994519027,36059.224813781,41893.9740900245,34514.8599684046,43438.3389354008,2015-03-28
"2015.2384",38778.7086924598,35861.3340543381,41696.0833305816,34316.9692089617,43240.448175958,2015-03-29
"2015.2411",38571.5869964408,35654.212358319,41488.9616345625,34109.8475129426,43033.3264799389,2015-03-30
"2015.2438",38357.0640816232,35439.6894435015,41274.438719745,33895.3245981251,42818.8035651213,2015-03-31
"2015.2466",38136.9903879884,35219.6157498666,41054.3650261101,33675.2509044903,42598.7298714865,2015-04-01
"2015.2493",37913.2058579186,34995.8312197969,40830.5804960403,33451.4663744205,42374.9453414167,2015-04-02
"2015.2521",37687.5099248981,34770.1352867764,40604.8845630199,33225.7704414,42149.2494083962,2015-04-03
"2015.2548",37461.6331866945,34544.2585485728,40379.0078248162,32999.8937031964,41923.3726701926,2015-04-04
"2015.2575",37237.2111979756,34319.8365598539,40154.5858360974,32775.4717144775,41698.9506814738,2015-04-05
"2015.2603",37015.7607697308,34098.3861316091,39933.1354078526,32554.0212862327,41477.500253229,2015-04-06
"2015.2630",36798.6591096786,33881.2844715568,39716.0337478003,32336.9196261804,41260.3985931767,2015-04-07
"2015.2658",36587.126080113,33669.7514419912,39504.5007182347,32125.3865966148,41048.8655636111,2015-04-08
"2015.2685",36382.2097884665,33464.8351503448,39299.5844265882,31920.4703049684,40843.9492719646,2015-04-09
"2015.2712",36184.7756624039,33267.4010242822,39102.1503005256,31723.0361789058,40646.515145902,2015-04-10
"2015.2740",35995.4990966724,33078.1244585506,38912.8737347941,31533.7596131742,40457.2385801705,2015-04-11
"2015.2767",35814.8616943772,32897.4870562555,38732.236332499,31353.1222108791,40276.6011778754,2015-04-12
"2015.2795",35643.1510619745,32725.7764238527,38560.5257000962,31181.4115784763,40104.8905454726,2015-04-13
"2015.2822",35480.4640561596,32563.0894180379,38397.8386942813,31018.7245726615,39942.2035396577,2015-04-14
"2015.2849",35326.7133230205,32409.3386848988,38244.0879611423,30864.9738395224,39788.4528065186,2015-04-15
"2015.2877",35181.6369162631,32264.2622781413,38099.0115543848,30719.8974327649,39643.3763997612,2015-04-16
"2015.2904",35044.8107328611,32127.4360947394,37962.1853709829,30583.071249363,39506.5502163592,2015-04-17
"2015.2932",34915.6634618806,31998.2888237589,37833.0381000023,30453.9239783825,39377.4029453787,2015-04-18
"2015.2959",34793.4937060965,31876.1190679748,37710.8683442183,30331.7542225984,39255.2331895947,2015-04-19
"2015.2986",34677.4889068624,31760.1142687407,37594.8635449842,30215.7494233643,39139.2283903606,2015-04-20
"2015.3014",34566.7456808591,31649.3710427374,37484.1203189809,30105.006197361,39028.4851643573,2015-04-21
"2015.3041",34460.2911630593,31542.9165249376,37377.6658011811,29998.5516795612,38922.0306465575,2015-04-22
"2015.3068",34357.1049435771,31439.7303054554,37274.4795816989,29895.365460079,38818.8444270752,2015-04-23
