"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"26039",44.825,83850,6,-20.4878048780488,-5.65188527449282
"26040",43.59,79050,5,-2.75515895147797,-5.72450805008945
"26041",41.755,73296,4,-4.20968111952284,-7.27893738140417
"26042",40.865,67619,4,-2.13148125972938,-7.74530670159354
"26043",43.875,61522,4,7.36571638321303,-9.01669649063133
"26044",44.32,59332,4,1.01424501424501,-3.55970222034394
"26045",41.395,58373,5,-6.59972924187727,-1.61632845681925
"26046",40.555,57273,6,-2.02923058340377,-1.88443287136176
"26047",25.475,55486,6,-37.1840710146714,-3.12014387233077
"26048",20.875,52880,7,-18.0569185475957,-4.69668024366507
"26049",22.04,52932,7,5.58083832335329,0.0983358547655068
"26050",23.185,55237,7,5.1950998185118,4.35464369379581
"26051",30.33,57357,8,30.8173387966358,3.83800713290005
"26052",31.27,61568,8,3.09924167490934,7.34173684118765
"26053",32.47,68020,8,3.83754397185801,10.4794698544699
"26054",33.55,71350,9,3.32614721281182,4.89561893560717
"26055",37.635,73084,10,12.1758569299553,2.43027330063069
"26056",38.12,74260,10,1.28869403480804,1.60910732855345
"26057",37.725,73776,10,-1.03620146904513,-0.651764072178831
"26058",37.01,73446,10,-1.89529489728298,-0.447299934938191
"26059",48.295,75298,10,30.4917589840584,2.52158048089753
"26060",55.22,82398,10,14.3389584843151,9.42920130680762
"26061",56.855,84834,10,2.96088373777618,2.9563824364669
"26062",53.905,82368,11,-5.18863776272976,-2.90685338425631
"26063",40.17,78490,11,-25.4800111306929,-4.70813908313908
"26064",41.49,74556,11,3.28603435399552,-5.01210345266913
"26065",39.75,69010,12,-4.19378163412871,-7.43870379312195
"26066",37.8,62328,12,-4.9056603773585,-9.68265468772642
"26067",32.315,56132,12,-14.510582010582,-9.9409575150815
"26068",31.165,54994,12,-3.55871886120996,-2.02736407040547
"26069",27.895,54467,12,-10.4925397080058,-0.958286358511838
"26070",23.025,52979,12,-17.4583258648503,-2.73192942515652
"26071",14.835,51572,12,-35.5700325732899,-2.65576926706808
"26072",10.285,50446,12,-30.6707111560499,-2.18335530908245
"26073",22.235,52753,13,116.188624210015,4.57320699361694
"26074",35.345,59344,13,58.9610973690128,12.4940761662844
"26075",35.045,69179,13,-0.848776347432444,16.5728633054732
"26076",36.9,76676,13,5.29319446426023,10.8371037453563
"26077",45.86,80729,13,24.2818428184282,5.2858782409098
"26078",41.75,81167,13,-8.96205843872656,0.542555958825205
"26079",47.705,81715,13,14.2634730538922,0.675151231411781
"26080",47.125,82050,13,-1.21580547112462,0.409961451385914
"26081",44.76,82065,13,-5.01856763925728,0.0182815356489945
"26082",44.82,82106,13,0.134048257372643,0.0499603972460854
"26083",54.745,84105,13,22.1441320838911,2.43465763768787
"26084",61.695,90648,13,12.6952233080647,7.77956126270733
"26085",64.55,93285,12,4.62760353351162,2.90905480540111
"26086",55.855,90997,12,-13.4701781564678,-2.45269871897947
"26087",43.81,86613,12,-21.5647659117357,-4.81774124421684
"26088",43.455,81657,12,-0.810317279160018,-5.72200477988293
"26089",41.855,75346,12,-3.68196985387181,-7.72866992419511
"26090",39.87,68120,12,-4.74256361247163,-9.59042284925543
"26091",38.335,61933,12,-3.85001254075749,-9.08250146799765
"26092",38.05,60022,12,-0.743445937133159,-3.08559249511569
"26093",30.965,58562,11,-18.6202365308804,-2.43244143813935
"26094",18.78,56045,12,-39.3508800258356,-4.29800894778184
"26095",11.295,54376,11,-39.8562300319489,-2.97796413596217
"26096",10.2,53111,11,-9.69455511288181,-2.32639399735177
"26097",25.335,54931,11,148.382352941176,3.42678541168496
"26098",35.635,60484,11,40.6552200513124,10.1090458939397
"26099",37.55,69506,11,5.3739301248772,14.9163415118048
"26100",41.56,76264,12,10.6790945406125,9.72290162000403
"26101",44.225,79660,12,6.41241578440808,4.45295290045106
"26102",44.475,80396,12,0.565291124929339,0.92392668842581
"26103",49.48,80336,12,11.2535132096684,-0.074630578635753
"26104",48.615,80690,13,-1.74818108326597,0.440649273053177
"26105",46.885,80214,13,-3.55857245706059,-0.589912008923039
"26106",47.415,80390,13,1.1304255092247,0.219413070037649
"26107",55.525,81635,12,17.1042918907519,1.54870008707551
"26108",62.595,88374,11,12.7330031517335,8.25503766766705
"26109",64.75,91329,11,3.44276699416887,3.34374363500577
"26110",60.62,89957,11,-6.37837837837838,-1.5022610561815
"26111",49.485,85588,11,-18.368525239195,-4.85676489878498
"26112",47.34,80633,11,-4.33464686268565,-5.78936299481236
"26113",46.86,74169,11,-1.01394169835235,-8.01656889858991
"26114",45.535,67240,11,-2.82757148954333,-9.34217799889442
"26115",39.03,59868,11,-14.2857142857143,-10.9637120761452
"26116",41.465,58241,11,6.23879067384064,-2.71764548673749
"26117",33.505,57342,11,-19.1969130592066,-1.54358613347985
"26118",21.115,55825,11,-36.9795552902552,-2.64553032681106
"26119",13.555,53866,12,-35.8039308548425,-3.50918047469772
"26120",12.79,52679,12,-5.64367392106234,-2.20361638139086
"26121",19.745,54139,12,54.3784206411259,2.77150287590881
"26122",30.205,58963,12,52.975436819448,8.91039731062635
"26123",34.37,65899,10,13.7891077636153,11.7633091939013
"26124",35.97,72510,9,4.65522257782951,10.0320186952761
"26125",44.175,75885,9,22.8106755629691,4.65453040959868
"26126",46.39,75953,8,5.01414827391059,0.0896092771957567
"26127",43.085,75015,9,-7.12438025436518,-1.23497426039788
"26128",42.045,77734,8,-2.41383312057559,3.624608411651
"26129",38.595,73073,8,-8.20549411344988,-5.99608922736512
"26130",37.31,72809,7,-3.3294468195362,-0.361282553063375
"26131",47.055,74592,7,26.1190029482713,2.44887307887761
"26132",53.27,81087,6,13.2079481457868,8.70736808236808
"26133",57.855,84215,5,8.60709592641262,3.85758506295707
"26134",54.705,81620,5,-5.44464609800364,-3.08139880068871
"26135",43.065,77205,4,-21.2777625445572,-5.40921342808135
"26136",42.47,73012,4,-1.38163241611517,-5.43099540185221
"26137",41.61,67855,4,-2.02495879444314,-7.06322248397524
"26138",40.505,62633,4,-2.65561163181928,-7.69582197332547
"26139",33.84,57345,4,-16.4547586717689,-8.44283364999282
"26140",35.31,56306,4,4.34397163120567,-1.81184061382858
"26141",37.165,55093,4,5.25346927216085,-2.15429971939047
"26142",33.795,53383,4,-9.06767119601775,-3.10384259343292
"26143",22.845,52255,4,-32.4012427873946,-2.11303223872768
"26144",22.085,50729,4,-3.3267673451521,-2.92029470864032
"26145",22.515,51338,3,1.94702286619878,1.20049675727887
"26146",38.765,53147,2,72.1741061514546,3.52370563714987
"26147",35.815,56440,2,-7.6099574358313,6.19602235309613
"26148",38.86,63716,3,8.50202429149798,12.8915662650602
"26149",39.99,69525,5,2.90787442099844,9.11701927302404
"26150",41.895,71324,6,4.76369092273069,2.58755843221863
"26151",48.455,72130,7,15.6581931018021,1.13005439964107
"26152",53.425,74580,8,10.2569394283356,3.39664494662415
"26153",52.395,74382,8,-1.92793635938231,-0.265486725663717
"26154",44.185,71605,8,-15.6694341063078,-3.73343013094566
"26155",42.695,69203,7,-3.37218513070047,-3.3545143495566
"26156",43.36,71149,5,1.5575594331889,2.81201682008005
"26157",45.7,70649,5,5.39667896678968,-0.702750565714205
"26158",43.705,68784,3,-4.36542669584246,-2.63981089612026
"26159",45.39,67552,3,3.85539411966595,-1.79111421260758
"26160",44.745,66352,1,-1.42101784534039,-1.77640928469919
"26161",43.6,64057,2,-2.55894513353448,-3.45882565710152
"26162",43.21,61466,1,-0.894495412844022,-4.04483506876688
"26163",39.585,58851,2,-8.38926174496644,-4.25438453779325
"26164",49.035,58470,0,23.8726790450928,-0.647397665290309
"26165",45.955,57440,-1,-6.28122769450392,-1.76158713870361
"26166",40.71,55022,-1,-11.4133391361114,-4.20961002785515
"26167",37.94,53661,-1,-6.80422500614101,-2.4735560321326
"26168",34.96,53455,-2,-7.85450711649973,-0.383891466800842
"26169",36.66,53511,-2,4.86270022883294,0.104761013936956
"26170",37.065,54030,-1,1.10474631751228,0.969894040477659
"26171",35.605,54734,-1,-3.9390260353433,1.30297982602258
"26172",36.625,59274,-1,2.86476618452463,8.29466145357547
"26173",40.405,66193,0,10.320819112628,11.6729088639201
"26174",42.97,71190,1,6.34822422967454,7.54913661565422
"26175",52.725,73497,3,22.7018850360717,3.24062368310156
"26176",53.03,74861,4,0.578473210052157,1.85585806223383
"26177",52.065,74988,4,-1.81972468414106,0.169647747158066
"26178",50.34,74039,5,-3.31316623451454,-1.26553581906438
"26179",54.535,75366,4,8.33333333333332,1.79229865341239
"26180",58.835,79086,4,7.88484459521409,4.93591274580049
"26181",63.57,80302,5,8.04793065352257,1.53756669954227
"26182",57.075,77960,5,-10.217083529967,-2.91649024930886
"26183",47.39,74705,6,-16.9689005694262,-4.17521806054387
"26184",45.915,71722,7,-3.11247098543997,-3.9930392878656
"26185",44.84,67370,8,-2.34128280518348,-6.06787317698893
