"","x","values"
"91",23165.9587992599,2015-04-01
"92",22858.889494467,2015-04-02
"93",22439.4684604134,2015-04-03
"94",22182.194011116,2015-04-04
"95",22245.6378117724,2015-04-05
"96",22583.1082992569,2015-04-06
"97",22971.1339738389,2015-04-07
"98",23153.0141013182,2015-04-08
"99",23040.7031473285,2015-04-09
"100",22787.7486053509,2015-04-10
"101",22646.6668262965,2015-04-11
"102",22770.507117738,2015-04-12
"103",23112.0765279447,2015-04-13
"104",23447.5125128713,2015-04-14
"105",23524.7664606965,2015-04-15
"106",23267.2602373277,2015-04-16
"107",22837.7694640046,2015-04-17
"108",22487.6919630504,2015-04-18
"109",22363.6874274929,2015-04-19
"110",22423.6978063921,2015-04-20
"111",22477.4780650874,2015-04-21
"112",22328.527857658,2015-04-22
"113",21937.2271563163,2015-04-23
"114",21454.0591084784,2015-04-24
"115",21089.9440837777,2015-04-25
"116",20965.2041110417,2015-04-26
"117",21046.6838507846,2015-04-27
"118",21180.119683678,2015-04-28
"119",21199.4241129241,2015-04-29
"120",21056.4335664535,2015-04-30
"121",20859.2367034462,2015-05-01
"122",20780.0805588742,2015-05-02
"123",20927.5140681402,2015-05-03
"124",21276.3750242086,2015-05-04
"125",21679.7299695593,2015-05-05
"126",21962.6018152787,2015-05-06
"127",22054.418639303,2015-05-07
"128",22045.9992263028,2015-05-08
"129",22108.7319097007,2015-05-09
"130",22358.1543519592,2015-05-10
"131",22769.1205853113,2015-05-11
"132",23183.1977795508,2015-05-12
"133",23412.8176302622,2015-05-13
"134",23388.844626616,2015-05-14
"135",23218.8702648086,2015-05-15
"136",23092.1451456459,2015-05-16
"137",23132.0462096783,2015-05-17
"138",23315.0474867399,2015-05-18
"139",23491.1322170579,2015-05-19
"140",23494.5399737552,2015-05-20
"141",23279.5074628711,2015-05-21
"142",22960.198501891,2015-05-22
"143",22714.7142888719,2015-05-23
"144",22653.6237686404,2015-05-24
"145",22753.8939031036,2015-05-25
"146",22881.8394205432,2015-05-26
"147",22890.6186937115,2015-05-27
"148",22735.9530564117,2015-05-28
"149",22511.6438954629,2015-05-29
"150",22370.4896891357,2015-05-30
"151",22410.0730120054,2015-05-31
"152",22609.8143690208,2015-06-01
"153",22846.0513634923,2015-06-02
"154",22977.6739275192,2015-06-03
"155",22954.3729799314,2015-06-04
"156",22856.4986898627,2015-06-05
"157",22826.7797092482,2015-06-06
"158",22960.9346522594,2015-06-07
"159",23241.4433733758,2015-06-08
"160",23547.368493695,2015-06-09
"161",23737.0952526129,2015-06-10
"162",23757.2443753455,2015-06-11
"163",23685.6511790323,2015-06-12
"164",23665.0990762106,2015-06-13
"165",23792.8143061208,2015-06-14
"166",24052.4274981492,2015-06-15
"167",24324.0959835641,2015-06-16
"168",24468.7362639558,2015-06-17
"169",24436.6533228829,2015-06-18
"170",24308.3304384905,2015-06-19
"171",24227.0444802119,2015-06-20
"172",24289.7463776949,2015-06-21
"173",24481.9023230515,2015-06-22
"174",24689.8642600798,2015-06-23
"175",24783.4718062551,2015-06-24
"176",24718.6074773751,2015-06-25
"177",24573.7466343806,2015-06-26
"178",24485.5754082935,2015-06-27
"179",24546.2736380994,2015-06-28
"180",24741.9548907106,2015-06-29
"181",24963.9500785917,2015-06-30
"182",25086.3015556245,2015-07-01
"183",25062.7460792223,2015-07-02
"184",24963.1396360061,2015-07-03
"185",24914.6575004135,2015-07-04
"186",25003.8628505036,2015-07-05
"187",25215.7116547394,2015-07-06
"188",25443.0735948718,2015-07-07
"189",25561.9201051964,2015-07-08
"190",25526.1376696902,2015-07-09
"191",25403.3913415207,2015-07-10
"192",25318.0202257483,2015-07-11
"193",25355.6109868559,2015-07-12
"194",25504.2099104759,2015-07-13
"195",25664.9845806305,2015-07-14
"196",25725.1591395203,2015-07-15
"197",25646.6290983284,2015-07-16
"198",25497.2484250833,2015-07-17
"199",25396.1568428609,2015-07-18
"200",25424.8463755551,2015-07-19
"201",25572.5708258507,2015-07-20
"202",25745.9578352399,2015-07-21
"203",25836.1127157165,2015-07-22
"204",25800.9146658863,2015-07-23
"205",25695.9022147116,2015-07-24
"206",25625.4179514958,2015-07-25
"207",25659.1051590376,2015-07-26
"208",25778.7255187616,2015-07-27
"209",25887.1584129837,2015-07-28
"210",25874.5662072253,2015-07-29
"211",25698.6527840159,2015-07-30
"212",25412.6855109502,2015-07-31
"213",25115.9465642681,2015-08-01
"214",24874.3078674792,2015-08-02
"215",24675.1962578322,2015-08-03
"216",24443.4148058698,2015-08-04
"217",24103.6301081237,2015-08-05
"218",23643.665575317,2015-08-06
"219",23126.5929966035,2015-08-07
"220",22643.8145740506,2015-08-08
"221",22253.9319387997,2015-08-09
"222",21953.5219078371,2015-08-10
"223",21692.5904201462,2015-08-11
"224",21419.6752428074,2015-08-12
"225",21124.9478346698,2015-08-13
"226",20849.400497148,2015-08-14
"227",20655.0887837787,2015-08-15
"228",20582.8629645575,2015-08-16
"229",20627.7792268585,2015-08-17
"230",20745.0331554548,2015-08-18
"231",20881.629788409,2015-08-19
"232",21013.9294221983,2015-08-20
"233",21163.5252094913,2015-08-21
"234",21378.2128663469,2015-08-22
"235",21692.9525093831,2015-08-23
"236",22099.0913971912,2015-08-24
"237",22542.2044916697,2015-08-25
"238",22952.335196002,2015-08-26
"239",23288.9685658062,2015-08-27
"240",23565.9449133417,2015-08-28
"241",23833.3434839534,2015-08-29
"242",24130.821955226,2015-08-30
"243",24449.7441494072,2015-08-31
"244",24732.3392570205,2015-09-01
"245",24910.7564994801,2015-09-02
"246",24959.1536490012,2015-09-03
"247",24915.6685920152,2015-09-04
"248",24854.3252987453,2015-09-05
"249",24832.1596984472,2015-09-06
"250",24853.7066746365,2015-09-07
"251",24875.6714286151,2015-09-08
"252",24846.4076073802,2015-09-09
"253",24751.4507778467,2015-09-10
"254",24629.1843909914,2015-09-11
"255",24544.2670245696,2015-09-12
"256",24542.1934606016,2015-09-13
"257",24619.3523144701,2015-09-14
"258",24727.1680111782,2015-09-15
"259",24806.9426823931,2015-09-16
"260",24832.0459442193,2015-09-17
"261",24825.2866357378,2015-09-18
"262",24837.2061222366,2015-09-19
"263",24903.852999259,2015-09-20
"264",25016.7469470501,2015-09-21
"265",25125.6659767356,2015-09-22
"266",25172.7275189427,2015-09-23
"267",25134.1900489622,2015-09-24
"268",25037.0176756787,2015-09-25
"269",24936.419667205,2015-09-26
"270",24874.1630045301,2015-09-27
"271",24850.423273152,2015-09-28
"272",24827.7825291923,2015-09-29
"273",24763.1688609369,2015-09-30
"274",24644.2953185049,2015-10-01
"275",24502.1133071177,2015-10-02
"276",24389.6750517976,2015-10-03
"277",24345.690927627,2015-10-04
"278",24370.2968319598,2015-10-05
"279",24428.2749947863,2015-10-06
"280",24476.4929045529,2015-10-07
"281",24496.4545390978,2015-10-08
"282",24507.4397449849,2015-10-09
"283",24549.8631240859,2015-10-10
"284",24652.5776882176,2015-10-11
"285",24808.7906903656,2015-10-12
"286",24977.0794012178,2015-10-13
"287",25107.1970255121,2015-10-14
"288",25173.1426897958,2015-10-15
"289",25188.0692459761,2015-10-16
"290",25188.6673573526,2015-10-17
"291",25202.2625909236,2015-10-18
"292",25222.7394718571,2015-10-19
"293",25212.7625925704,2015-10-20
"294",25130.6095678579,2015-10-21
"295",24961.7835356036,2015-10-22
"296",24730.261969071,2015-10-23
"297",24480.5447497005,2015-10-24
"298",24246.4253390463,2015-10-25
"299",24031.0319796764,2015-10-26
"300",23811.1193441553,2015-10-27
"301",23560.6315412476,2015-10-28
"302",23275.3830185527,2015-10-29
"303",22979.9621090499,2015-10-30
"304",22712.4380180363,2015-10-31
"305",22500.2106776225,2015-11-01
"306",22345.1151908477,2015-11-02
"307",22226.8960572567,2015-11-03
"308",22121.3690735947,2015-11-04
"309",22020.131387703,2015-11-05
"310",21937.4721211418,2015-11-06
"311",21899.7595097369,2015-11-07
"312",21926.0108471789,2015-11-08
"313",22013.9038011475,2015-11-09
"314",22140.4868425756,2015-11-10
"315",22276.91801579,2015-11-11
"316",22407.1034604849,2015-11-12
"317",22536.4541343705,2015-11-13
"318",22683.8118870032,2015-11-14
"319",22862.7573192801,2015-11-15
"320",23066.4422796427,2015-11-16
"321",23267.1598317718,2015-11-17
"322",23431.6328351283,2015-11-18
"323",23541.531468692,2015-11-19
"324",23603.5504997825,2015-11-20
"325",23640.9129757953,2015-11-21
"326",23673.4461083132,2015-11-22
"327",23702.1344984208,2015-11-23
"328",23709.6339420142,2015-11-24
"329",23676.0337713497,2015-11-25
"330",23597.7293869607,2015-11-26
"331",23494.4616208284,2015-11-27
"332",23399.0055432631,2015-11-28
"333",23338.0222929403,2015-11-29
"334",23318.4466074565,2015-11-30
"335",23328.2797119943,2015-12-01
"336",23350.2244303037,2015-12-02
"337",23377.9377325792,2015-12-03
"338",23422.7242114054,2015-12-04
"339",23505.6027479715,2015-12-05
"340",23640.8302473545,2015-12-06
"341",23822.8516045614,2015-12-07
"342",24025.7118773213,2015-12-08
"343",24215.5823358439,2015-12-09
"344",24367.9684809666,2015-12-10
"345",24476.909471894,2015-12-11
"346",24549.0102346024,2015-12-12
"347",24587.4548787991,2015-12-13
"348",24579.4042965759,2015-12-14
"349",24497.5254158118,2015-12-15
"350",24315.5110037432,2015-12-16
"351",24026.0952487915,2015-12-17
"352",23647.234219991,2015-12-18
"353",23211.784978251,2015-12-19
"354",22749.8011622327,2015-12-20
"355",22277.2256542851,2015-12-21
"356",21797.7286416105,2015-12-22
"357",21313.810587945,2015-12-23
"358",20837.2116564758,2015-12-24
"359",20390.5134919073,2015-12-25
"360",19999.501339823,2015-12-26
"361",19682.7776675649,2015-12-27
"362",19446.0288738775,2015-12-28
"363",19284.1038878604,2015-12-29
"364",19188.8042371733,2015-12-30
"365",19156.9983117779,2015-12-31
