"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"33130",22.5,42803.7,-2,13.5382681075231,6.68563300142247
"33131",24.74,47145.7,-3,10.1439828799847,9.95555555555555
"33132",27.78,48007,0,1.82688983300705,12.2877930476961
"33133",27.19,47983.3,5,-0.0493678005290834,-2.12383009359251
"33134",25.27,47781.3,8,-0.420979799221813,-7.06141963957338
"33135",24.84,47230.5,10,-1.1527522273358,-1.70162247724574
"33136",24.17,46712.3,11,-1.09717237801844,-2.69726247987117
"33137",24,46403.4,10,-0.661281932167762,-0.703351261894918
"33138",23.82,46066.5,10,-0.726024386144122,-0.749999999999999
"33139",23.8,45812.4,10,-0.551593891439546,-0.0839630562552459
"33140",23.72,45749.9,10,-0.136425945813797,-0.33613445378152
"33141",24.23,46611.8,9,1.88393854412797,2.15008431703205
"33142",25.52,47698.8,8,2.33202751234666,5.32397853900123
"33143",24.92,47553.2,8,-0.305248769361086,-2.35109717868338
"33144",23.24,45990.5,8,-3.2862141769639,-6.74157303370788
"33145",21.94,43995.8,8,-4.3372000739283,-5.59380378657486
"33146",21.52,41462.5,7,-5.75804963201033,-1.91431175934367
"33147",20.83,38595.4,6,-6.91492312330419,-3.20631970260224
"33148",20.7,35489.4,6,-8.04759116371381,-0.624099855976952
"33149",20.37,34564.1,6,-2.60725737825943,-1.59420289855072
"33150",20.31,34295.6,6,-0.776817565045813,-0.294550810014739
"33151",20.36,34456.9,6,0.4703227236147,0.246184145741018
"33152",20.72,35093.5,6,1.84752545934196,1.76817288801571
"33153",21.34,37734.4,8,7.52532520267286,2.992277992278
"33154",22.78,43187.3,6,14.4507399084125,6.74789128397376
"33155",25.07,47401.1,7,9.75703505428678,10.0526777875329
"33156",27.38,48105.9,8,1.48688532544604,9.21420023932987
"33157",25.9,47921.9,9,-0.382489465949083,-5.40540540540541
"33158",25.28,47646,10,-0.575728424791174,-2.39382239382238
"33159",24.69,47117.2,10,-1.1098518238677,-2.33386075949367
"33160",23.87,46345.4,10,-1.638043007649,-3.32118266504658
"33161",23.69,45870.9,10,-1.02383408062073,-0.754084625052366
"33162",23.24,45326.1,10,-1.18768107885392,-1.89953566905869
"33163",22.98,44996.2,10,-0.727836721006223,-1.11876075731497
"33164",22.94,44995.8,10,-0.000888963956943429,-0.174064403829413
"33165",23.42,46069,9,2.38511149929548,2.0924149956408
"33166",23.89,46991.9,9,2.003299398728,2.00683176771989
"33167",23.78,47079.4,9,0.186202302950083,-0.460443700293007
"33168",22.58,45330,8,-3.7158502444806,-5.04625735912533
"33169",21.99,43345.2,8,-4.37855724685639,-2.61293179805137
"33170",21.41,41011.1,7,-5.38490997849819,-2.637562528422
"33171",20.6,38195.5,8,-6.86545837590311,-3.78327884166277
"33172",20.69,35293.4,7,-7.59801547302692,0.436893203883494
"33173",20.45,34479.3,7,-2.3066635688259,-1.15998066698889
"33174",20.42,34208.2,7,-0.786268862766952,-0.146699266503656
"33175",20.47,34296.9,7,0.259294555106683,0.244857982370211
"33176",20.81,34940.6,7,1.8768460123218,1.6609672691744
"33177",21.58,37558.3,7,7.49185760977203,3.70014416146083
"33178",23.03,43015.1,7,14.5288791026218,6.71918443002782
"33179",26.11,47445.9,7,10.3005688700015,13.3738601823708
"33180",29.52,47923.2,7,1.0059878725032,13.0601302183072
"33181",27.75,47671.9,8,-0.524380675747854,-5.99593495934959
"33182",25.94,47369.2,9,-0.63496525206674,-6.52252252252252
"33183",24.97,46839,9,-1.1192927049644,-3.73939861218197
"33184",24.1,46022,10,-1.74427293494737,-3.48418101722065
"33185",23.91,45342.4,11,-1.4766850636652,-0.788381742738595
"33186",23.3,45047.6,11,-0.650164084830099,-2.55123379339188
"33187",22.77,44774.1,10,-0.607135563270851,-2.27467811158799
"33188",22.92,44776.6,9,0.00558358515302373,0.658761528326755
"33189",23.57,46046.7,7,2.83652622128522,2.83595113438045
"33190",24.52,47305.7,5,2.7341807339071,4.03054730589732
"33191",24.37,47292.1,4,-0.028749178217421,-0.611745513866226
"33192",22.88,45362.6,2,-4.07996261532053,-6.11407468198606
"33193",22.16,43381.4,2,-4.36747452747417,-3.14685314685314
"33194",21.57,40750.6,1,-6.06435015928486,-2.66245487364621
"33195",20.78,37855.6,1,-7.10418987695887,-3.66249420491423
"33196",21.29,35114.7,1,-7.24040828833779,2.45428296438883
"33197",21.09,34223.7,0,-2.53739886714111,-0.9394081728511
"33198",20.95,33877.4,0,-1.0118718899476,-0.663821716453298
"33199",20.94,33899.4,-1,0.0649400485279272,-0.0477326968973652
"33200",21.23,34681.3,0,2.30653049906488,1.38490926456542
"33201",22.01,37349.2,-1,7.69261821212006,3.6740461610928
"33202",24.14,42915.3,-1,14.9028627119189,9.6774193548387
"33203",25.54,47523,-1,10.7367302570412,5.79950289975144
"33204",25.97,48231.9,1,1.49169875639165,1.68363351605325
"33205",25.95,47949.1,5,-0.58633394081511,-0.0770119368502101
"33206",25.57,47590.2,10,-0.748502057390027,-1.46435452793834
"33207",25.09,46900.6,12,-1.44903782711566,-1.87719984356668
"33208",24.73,46191,12,-1.51298704067751,-1.43483459545635
"33209",24.51,45686.1,13,-1.09307007858674,-0.889607763849571
"33210",24.26,45151.5,12,-1.17015897614373,-1.01999184006528
"33211",24.05,44689.7,12,-1.02277886670432,-0.86562242374279
"33212",24.17,44808.5,10,0.265833066679801,0.498960498960503
"33213",24.56,46042.2,8,2.75327225861164,1.6135705419942
"33214",24.95,47285.8,7,2.70100038660187,1.58794788273616
"33215",24.85,47111.6,4,-0.368398123749634,-0.400801603206404
"33216",23.91,45010.2,3,-4.46047258000153,-3.78269617706238
"33217",23.03,42972.2,3,-4.52786257337226,-3.68046842325386
"33218",22.11,40531,2,-5.68088205863325,-3.99478940512376
"33219",21.24,37680.5,1,-7.03288840640497,-3.93487109905021
"33220",21.7,35514.8,1,-5.74753519725056,2.16572504708098
"33221",21.64,34720.3,1,-2.23709552074065,-0.276497695852529
"33222",21.58,34414,0,-0.882192838195531,-0.277264325323486
"33223",21.66,34566.8,0,0.444005346661251,0.370713623725681
"33224",22.16,35385.3,-1,2.36787900528831,2.3084025854109
"33225",23.3,37938.6,8,7.21570821781925,5.14440433212997
"33226",24.33,43362.4,-2,14.2962576373403,4.42060085836909
"33227",25.99,47471.3,-1,9.47572090105714,6.82285244554049
"33228",26.01,48206.7,0,1.54914653696021,0.0769526741054372
"33229",25.85,47928.2,3,-0.577720524325457,-0.615148019992311
"33230",24.91,46929.3,6,-2.08415922150215,-3.63636363636364
"33231",24.71,46300.1,8,-1.34074021986265,-0.802890405459652
"33232",24.63,45990.5,10,-0.668681061164012,-0.323755564548773
"33233",24.34,45216.2,11,-1.68360857133539,-1.17742590336987
"33234",24.24,44400.5,11,-1.803999451524,-0.410846343467549
"33235",23.96,43875,11,-1.18354523034651,-1.15511551155115
"33236",23.93,43863.9,10,-0.025299145299142,-0.12520868113523
"33237",24.59,45249,9,3.15772195358825,2.75804429586293
"33238",25.47,46710.3,6,3.22946363455547,3.57869052460349
"33239",25.28,46300.1,4,-0.878178902725961,-0.745975657636426
"33240",24.04,44332.3,5,-4.25009881188161,-4.90506329113925
"33241",23.71,42578.1,2,-3.95693433455969,-1.37271214642262
"33242",23.29,40539.2,1,-4.78861198597401,-1.77140447068748
"33243",22.79,38478.4,1,-5.08347476023206,-2.1468441391155
"33244",22.77,36137.3,0,-6.08419268992473,-0.0877577885037278
"33245",22.47,35240.9,-1,-2.48053949797025,-1.31752305665349
"33246",22.38,34877.9,-1,-1.03005314847237,-0.400534045393858
"33247",22.37,34770.8,-1,-0.307071239954236,-0.0446827524575425
"33248",22.47,35018.4,-2,0.71209175515087,0.447027268663379
"33249",22.81,35891.2,-1,2.49240399332921,1.51312861593235
"33250",23.04,37511.1,-2,4.51336260699002,1.00832967996493
"33251",23.37,39450.2,-2,5.16940318998909,1.43229166666667
"33252",23.57,41217,-1,4.47855777663992,0.855798031664524
"33253",23.84,42482.7,0,3.07082029259771,1.14552397114976
"33254",23.8,42926.5,2,1.04466053240496,-0.167785234899325
"33255",23.73,42449.5,5,-1.11120170524035,-0.294117647058825
"33256",23.51,41626.8,7,-1.93806758619064,-0.927096502317736
"33257",23.29,40961.3,9,-1.59872966454303,-0.935772011909836
"33258",23.18,40591.3,8,-0.903291643575765,-0.472305710605408
"33259",23.14,40443.8,6,-0.363378359402138,-0.172562553925794
"33260",23.32,41138.6,6,1.71793946167273,0.777873811581675
"33261",23.83,43020.5,5,4.57453583738873,2.1869639794168
"33262",24.67,44647.2,5,3.78122058088585,3.52496852706674
"33263",24.48,44292.9,4,-0.793554802988756,-0.770166193757605
"33264",23.82,42545.7,4,-3.94465027126245,-2.69607843137255
"33265",23.69,41191.9,4,-3.18199018937283,-0.545759865659106
"33266",23.46,39261.6,4,-4.68611547415876,-0.970873786407769
"33267",23.09,37451.8,4,-4.60959308841208,-1.57715260017051
"33268",23.12,35823.3,3,-4.34825562456277,0.129926375054141
"33269",22.87,34851.2,3,-2.71359701646695,-1.08131487889273
"33270",22.74,34407.5,3,-1.27312689376549,-0.568430257979897
"33271",22.73,34322.6,3,-0.246748528663813,-0.0439753737906685
"33272",22.85,34584.6,3,0.763345434203703,0.527936647602292
"33273",23.06,35179.5,8,1.720129768741,0.919037199124715
"33274",23.23,36170.6,1,2.81726573714805,0.737207285342592
"33275",23.48,37706.2,2,4.24543690179317,1.07619457597934
"33276",23.63,39465.1,3,4.66475009414898,0.638841567291306
"33277",23.91,40788.5,6,3.353342573565,1.18493440541685
"33278",24.09,41410.8,8,1.52567512901922,0.752823086574654
"33279",24.08,41353.1,9,-0.139335632250535,-0.0415110004151165
"33280",23.95,40992,10,-0.873211440012958,-0.539867109634547
"33281",23.89,40613,10,-0.924570647931304,-0.250521920668053
"33282",23.76,40371.5,10,-0.594637185137764,-0.544160736709916
"33283",23.68,40457.1,10,0.212030764276776,-0.336700336700344
"33284",23.8,41322.1,10,2.13806723665315,0.506756756756761
"33285",24.35,43121.2,9,4.35384455291478,2.3109243697479
"33286",25.52,45011.4,9,4.38345871636226,4.80492813141683
"33287",25.49,45013.3,9,0.00422115286350004,-0.117554858934174
"33288",24.72,43607.2,8,-3.12374342694272,-3.02079246763437
"33289",24.16,42362.2,6,-2.85503311379772,-2.26537216828478
"33290",23.91,40671.5,5,-3.99105806591725,-1.03476821192053
"33291",23.46,38413.7,8,-5.55130742657636,-1.88205771643663
"33292",23.13,36519.8,7,-4.93027227265271,-1.40664961636829
"33293",23.11,35655.2,7,-2.3674828449225,-0.0864677907479446
"33294",23.12,35406.8,7,-0.696672575108243,0.0432713111207337
"33295",23.22,35659.4,7,0.713422280465895,0.432525951557084
"33296",23.48,36447,7,2.20867429064987,1.11972437553834
"33297",24.16,39353.2,7,7.97377013197245,2.89608177172061
"33298",25.88,44622.8,7,13.3905247857862,7.11920529801324
"33299",34.92,48432.5,7,8.53756375664458,34.9304482225657
"33300",44.78,49252.8,7,1.6936974139266,28.2359679266896
"33301",39.07,49234,8,-0.0381704187376208,-12.751228226887
"33302",44.87,49125.7,9,-0.219969939472728,14.8451497312516
"33303",35.93,48764,9,-0.73627449583415,-19.9242255404502
"33304",32.24,48290.4,10,-0.971208268394714,-10.2699693849151
"33305",29.84,47784.3,10,-1.04803439192883,-7.44416873449132
"33306",30.03,47601.7,11,-0.382133880793495,0.636729222520112
"33307",28.22,47237.1,10,-0.765939031589205,-6.02730602730604
"33308",28.03,47181.4,9,-0.11791579076615,-0.673281360737058
"33309",34.96,48430.3,8,2.64701768069621,24.7235105244381
"33310",46.31,49268.9,6,1.73156061391319,32.4656750572082
"33311",35.96,48958,6,-0.631026874965752,-22.3493845821637
"33312",27.89,47291.4,7,-3.40414232607541,-22.4416017797553
"33313",25.79,45712.8,7,-3.33802763293114,-7.52958049480101
"33314",24.8,43408,7,-5.04191386220053,-3.83869716944552
"33315",23.96,40782.2,8,-6.04911537043864,-3.38709677419355
"33316",24.28,37843.6,7,-7.20559459764309,1.33555926544241
"33317",24.08,36992.4,7,-2.24925747021953,-0.823723228995069
"33318",24.05,36719.7,7,-0.737178447464896,-0.124584717607963
"33319",24.08,36803.5,7,0.228215372129955,0.124740124740115
"33320",24.51,37652.8,7,2.30766095615907,1.7857142857143
"33321",25.24,40244.3,8,6.88262227510305,2.9783761729906
"33322",27.13,45635.4,8,13.395934331073,7.48811410459588
"33323",35.77,49234.6,7,7.88685976237745,31.8466642093623
"33324",49.05,49905.8,7,1.36326892063712,37.1260833100363
"33325",49.94,49729.7,7,-0.352864797278084,1.8144750254842
"33326",48.96,49459,8,-0.544342716726618,-1.96235482579094
"33327",39.76,49223.8,8,-0.475545401241426,-18.7908496732026
"33328",29.95,48435.5,9,-1.6014610818344,-24.6730382293763
"33329",28.72,47959.3,10,-0.983163175769832,-4.10684474123539
"33330",27.89,47855.4,10,-0.21664202771934,-2.88997214484679
"33331",27.69,47652.5,9,-0.423985589922979,-0.71710290426676
"33332",27.63,47764.6,9,0.235244740569747,-0.216684723726985
"33333",29.76,48506.5,8,1.55324235940425,7.70901194353964
"33334",32.49,49159.5,8,1.34621133250183,9.1733870967742
"33335",29.77,48755.7,8,-0.821407866231355,-8.37180670975686
"33336",26.58,47523.9,8,-2.52647382767552,-10.7154853879745
"33337",25.18,45588.2,7,-4.07310847805,-5.26711813393529
"33338",24.59,43332.2,7,-4.94864899250245,-2.34312946783161
"33339",24.06,40639.3,8,-6.21454714969467,-2.15534770231802
"33340",23.47,36842,7,-9.34391094334795,-2.45220282626766
"33341",23.32,35999.5,7,-2.28679224797785,-0.639113762249674
"33342",23.22,35712.3,7,-0.797788858178578,-0.428816466552322
"33343",23.25,35757.6,7,0.126847052696118,0.129198966408274
"33344",23.7,36437.8,7,1.90225294762513,1.93548387096774
"33345",24.53,38950,5,6.89448869031609,3.50210970464136
"33346",25.23,43719.6,6,12.2454428754814,2.8536485935589
"33347",27.96,47763.5,7,9.2496271695075,10.820451843044
"33348",29.35,48440.6,7,1.41760968103258,4.97138769670959
"33349",28.59,47991.5,8,-0.92711485819746,-2.58943781942079
"33350",27.99,47571.2,9,-0.875780086056912,-2.09863588667367
"33351",27.09,47138.3,9,-0.910004372393369,-3.21543408360128
"33352",26.24,46538.6,9,-1.27221388976693,-3.13768918420082
"33353",25.86,46017.4,10,-1.11993055227273,-1.44817073170731
"33354",25.45,45529.9,10,-1.05938188598226,-1.58546017014695
"33355",25.08,45263.2,10,-0.585768912297203,-1.45383104125737
"33356",24.95,45246,9,-0.0379999646511892,-0.518341307814988
"33357",25.37,46162.8,9,2.02625646465987,1.68336673346694
"33358",25.74,46843.3,8,1.47413068531372,1.45841545132045
"33359",25.18,46414.1,9,-0.916246293493422,-2.17560217560217
"33360",24.14,44148.4,9,-4.88149075388728,-4.13026211278792
"33361",23.34,42218.4,10,-4.37161935653387,-3.31400165700083
"33362",22.45,39834,9,-5.64777443010631,-3.81319622964867
"33363",21.25,36962.3,8,-7.20916804739669,-5.34521158129176
"33364",21.6,34380.9,9,-6.98387275683602,1.64705882352942
"33365",21.41,33489,9,-2.59417292741028,-0.879629629629636
"33366",21.23,33161.4,9,-0.978231658156405,-0.840728631480615
"33367",21.41,33321.5,8,0.482790232016738,0.847856806406028
"33368",22.07,34023.2,9,2.10584757588943,3.08267164876226
"33369",22.95,36497.2,9,7.27150885278281,3.98731309469868
"33370",24.43,41509.4,9,13.7331082932389,6.44880174291939
"33371",25.48,45952.9,10,10.7048042130216,4.29799426934098
"33372",25.93,46568.8,10,1.34028537915997,1.76609105180533
"33373",25.72,46150.9,10,-0.897381938121664,-0.809872734284616
"33374",25.44,45908.7,11,-0.524800166410632,-1.08864696734058
"33375",25.18,45396.8,12,-1.11503919736345,-1.02201257861636
"33376",24.89,44527.9,12,-1.91401156028619,-1.1517077045274
"33377",24.87,44288.4,13,-0.537865023951275,-0.0803535556448356
"33378",24.75,43928.4,12,-0.812853930148752,-0.482509047044636
"33379",24.6,43616.2,12,-0.710701960462945,-0.6060606060606
"33380",24.51,43641.2,12,0.0573181524296019,-0.365853658536585
"33381",24.86,44782.1,12,2.61427275143672,1.42798857609138
"33382",25.01,45702.3,12,2.05483887535422,0.603378921963001
"33383",24.81,44889.7,12,-1.77802867689374,-0.799680127948832
"33384",23.79,42943.7,11,-4.33507018313778,-4.11124546553809
"33385",23.29,41206.7,12,-4.04483079008097,-2.10172341319882
"33386",22.56,38956.5,11,-5.46076244882506,-3.13439244310863
"33387",21.62,36502.2,11,-6.30010396211159,-4.16666666666666
"33388",20.82,33417.8,11,-8.44990164976356,-3.70027752081406
"33389",20.1,32544,11,-2.61477416227281,-3.45821325648414
"33390",19.36,32165.6,11,-1.16273352999017,-3.681592039801
"33391",19.64,32258.2,11,0.287885194120434,1.44628099173554
"33392",21.24,33128.1,8,2.69667867394956,8.14663951120162
"33393",22.81,35724.2,11,7.83654963610952,7.39171374764595
"33394",23.84,40617.1,10,13.6963179021504,4.51556334940816
"33395",25,44674.9,10,9.99037351263385,4.86577181208054
"33396",25.28,45459.1,10,1.75534808136112,1.12
"33397",25.29,45222.3,10,-0.520907805037926,0.0395569620253086
"33398",25.27,44994.5,11,-0.50373377736206,-0.0790826413602198
"33399",25.03,44370.8,12,-1.38616942070697,-0.94974277799762
"33400",24.78,43626.6,13,-1.6772291687326,-0.998801438274071
"33401",24.61,42857,14,-1.76406137539941,-0.6860371267151
"33402",24.53,42319.5,14,-1.25417084723616,-0.325071109305154
"33403",24.66,42122.9,14,-0.464561254268124,0.529963310232364
"33404",24.95,42715.5,13,1.40683571169126,1.17599351175993
"33405",25.44,44573.1,12,4.34877269375285,1.96392785571143
"33406",26.21,46162.3,11,3.56537911879588,3.02672955974843
"33407",25.96,45690.1,10,-1.02291263650209,-0.95383441434567
"33408",25.25,43485.6,10,-4.82489642176314,-2.73497688751926
"33409",25.01,41783,8,-3.91531909413691,-0.950495049504944
"33410",24.52,39714.4,7,-4.95081731804801,-1.95921631347462
"33411",23.72,37585.2,8,-5.36127953588624,-3.26264274061991
"33412",23.76,34586.4,3,-7.97867245617955,0.168634064080956
"33413",23.45,33648.1,2,-2.7129160594916,-1.30471380471381
"33414",23.22,33229.5,2,-1.24405241306344,-0.98081023454158
"33415",23.15,33100.9,2,-0.387005522201654,-0.301464254952628
"33416",23.2,33386.4,2,0.862514312299666,0.215982721382292
"33417",23.49,34407.4,1,3.05813145472408,1.25
"33418",23.7,36279.1,1,5.43981817864761,0.893997445721587
"33419",23.7,37608.6,5,3.66464438202712,0
"33420",23.91,39384.3,6,4.72152645937367,0.886075949367092
"33421",24.38,40765.7,7,3.50748902481444,1.96570472605604
"33422",24.6,41415,9,1.59276058058614,0.902378999179665
"33423",24.58,41411,11,-0.00965833635156344,-0.0813008130081428
"33424",24.43,40896.5,12,-1.24242351066142,-0.610252237591532
"33425",24.12,40435.6,12,-1.12699130732459,-1.26893164142447
"33426",23.91,39992.2,12,-1.0965584781727,-0.870646766169158
