"","tot.Prezzo","tot.Consumi","tot.Gradi","tot.Consumiperc","tot.Prezzoperc","dummy_ts_ita.BankHoliday","dummy_ts_ita.EndYear","dummy_ts_ita.AugustBorder","dummy_ts_ita.AugustCenter","dummy_ts_ita.DayOfWeek","dummy_ts_ita.DayOff"
"153",86.58,29490.26,1,9.10906518515448,15.4246100519931,0,0,0,0,1,0
"154",90.44,31515.95,3,6.86901370147297,4.45830445830446,0,0,0,0,1,0
"155",88.49,31692.93,5,0.5615569259375,-2.156125608138,0,0,0,0,1,0
"156",85.85,31320.46,7,-1.17524634042987,-2.98338795344107,0,0,0,0,1,0
"157",81.35,30370.17,8,-3.0340869833968,-5.2417006406523,0,0,0,0,1,0
"158",77.98,28904.82,9,-4.82496475982847,-4.14259373079286,0,0,0,0,1,0
"159",79.99,28778.85,9,-0.435809667730161,2.57758399589637,0,0,0,0,1,0
"160",85.53,29072.31,9,1.01970718079424,6.92586573321666,0,0,0,0,1,0
"161",90.53,30612,8,5.29607038449989,5.8459020226821,0,0,0,0,1,0
"162",137.73,34580.76,6,12.9647197177577,52.1374130122611,0,0,0,0,1,0
"163",137.81,35943.22,5,3.93993654274805,0.0580846583896119,0,0,0,0,1,0
"164",137.84,35860.86,3,-0.229139181186328,0.0217691023873457,0,0,0,0,1,0
"165",112.68,33927.61,6,-5.39097500729207,-18.2530470110273,0,0,0,0,1,0
"166",99.2,31544.03,6,-7.02548750118267,-11.9630812921548,0,0,0,0,1,0
"167",85.49,28942.04,4,-8.24875578675267,-13.820564516129,0,0,0,0,1,0
"168",82,26430.12,5,-8.67913941104359,-4.08234881272663,0,0,0,0,1,0
"169",70.01,24141.9,2,-8.65762243985271,-14.6219512195122,0,0,0,0,1,0
"170",58.01,22269.99,2,-7.75378077119034,-17.1404085130696,0,0,0,0,1,0
"171",58.54,21131.64,2,-5.11158738733157,0.913635580072403,0,0,0,0,1,0
"172",58.54,20515.06,2,-2.91780477047687,0,0,0,0,0,1,0
"173",54.84,20334.99,1,-0.877745422143536,-6.32046463956268,0,0,0,0,1,0
"174",54.35,20620.17,1,1.40241032820767,-0.893508388037932,0,0,0,0,1,0
"175",57,21583.57,1,4.67212442962401,4.87580496780129,0,0,0,0,1,0
"176",61,22873.81,0,5.97788039698716,7.01754385964912,0,0,0,0,1,0
"177",70.26,24403.35,1,6.68686152416234,15.1803278688525,0,0,0,0,1,0
"178",78.92,26585.79,6,8.94319837235463,12.3256475946484,0,0,0,0,1,0
"179",82.66,27942.15,7,5.10182319201348,4.73897617840851,0,0,0,0,1,0
"180",83.57,28571.4,11,2.25197416805793,1.10089523348657,0,0,0,0,1,0
"181",81.49,28465.89,14,-0.369285369285376,-2.48893143472538,0,0,0,0,1,0
"182",75.49,26898.37,15,-5.50666077891821,-7.36286660939993,0,0,0,0,1,0
"183",78.05,26528.52,13,-1.37499038045799,3.39117763942244,0,0,0,0,1,0
"184",80.98,26627.42,12,0.372806323157107,3.75400384368995,0,0,0,0,1,0
"185",87.8,27761.32,10,4.25839228885112,8.42183255124721,0,0,0,0,1,0
"186",107.64,31391.17,9,13.075206798524,22.5968109339408,0,0,0,0,1,0
"187",135,32834.58,6,4.59814017763595,25.4180602006689,0,0,0,0,1,0
"188",137.79,33363.59,11,1.61113679541506,2.06666666666666,0,0,0,0,1,0
"189",112.7,32713.82,8,-1.94754221593059,-18.2088685681109,0,0,0,0,1,0
"190",99.34,31184.88,9,-4.67368225416658,-11.8544809228039,0,0,0,0,1,0
"191",88.19,28688.08,8,-8.00644414857456,-11.2240789208778,0,0,0,0,1,0
"192",78.31,25880.22,9,-9.78754939333689,-11.203084249915,0,0,0,0,1,0
"193",71.54,23725.41,8,-8.32608841810464,-8.64512833610011,0,0,0,0,0,0
"194",59.02,22127.46,10,-6.73518392305971,-17.5006989097009,0,0,0,0,0,0
"195",57.15,21365.91,9,-3.44165123335439,-3.16841748559811,0,0,0,0,0,0
"196",50.64,21156.75,5,-0.978942624021162,-11.3910761154856,0,0,0,0,0,0
"197",55.01,21528.65,3,1.75783142495894,8.62954186413902,0,0,0,0,0,0
"198",59.93,23523.69,1,9.26690712144048,8.94382839483731,0,0,0,0,0,0
"199",81.39,28766.98,1,22.2894027255078,35.8084431837143,0,0,0,0,0,0
"200",84.68,35463.84,-1,23.2796769073431,4.04226563459885,0,0,0,0,0,0
"201",97.79,40419.46,2,13.9737264774486,15.4818138875768,0,0,0,0,0,0
"202",88.29,42056.26,5,4.04953455587977,-9.71469475406483,0,0,0,0,0,0
"203",85.86,42125.42,6,0.164446386816127,-2.75229357798166,0,0,0,0,0,0
"204",84.02,41829.78,8,-0.7018090264738,-2.14302352667133,0,0,0,0,0,0
"205",72.87,39485.52,10,-5.60428479423034,-13.2706498452749,0,0,0,0,0,0
"206",72.76,39235.2,11,-0.633953915258048,-0.150953753259228,0,0,0,0,0,0
"207",81.11,40586.98,11,3.44532460647583,11.4760857614074,0,0,0,0,0,0
"208",85.94,41260.29,11,1.65893101679405,5.95487609419307,0,0,0,0,0,0
"209",94.57,42768.83,10,3.65615462227726,10.0418896904817,0,0,0,0,0,0
