DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20131221,26573.946,24953.655,24028.124,23531.072,23533.141,24169.467,26500.771,29602.607,31725.621,33536.633,33204.133,32162.211,30952.53,29596.569,29712.171,30212.357,32536.8,36941.342,36544.762,36813.453,34449.575,32052.791,29135.319,26607.945
20131222,24329.896,22424.076,21387.35,20846.027,20502.587,21109.564,22748.494,24003.269,25501.496,27699.626,28595.1,28663.044,28321.272,26750.587,26556.008,26893.474,28442.413,32292.141,32768.461,33554.552,32309.403,30673.361,28494.565,25672.076
20131223,22654.092,21091.032,20468.823,20281.478,20302.501,21403.795,25546.662,30130.35,32580.293,33972.082,33802.069,33238.674,31946.586,31262.152,32209.094,33068.508,34740.839,38397.159,37729.018,36958.048,34579.192,32232.715,29225.696,25972.2
20131224,22611.71,21252.398,20525.775,20289.104,20196.363,21101.274,24075.7,27461.55,29852.116,31502.769,31333.979,30821.845,29682.721,28591.816,29146.836,30109.18,32024.108,35507.297,35101.511,34357.442,31825.727,29615.492,27103.353,24538.578
20131225,22737.488,21106.402,20073.826,19506.758,19319.935,19644.328,20622.828,21943.083,22988.664,25169.122,26559.366,27531.719,26908.986,24643.795,23698.154,23650.083,25358.08,28754.355,28908.647,29654.593,29207.935,27666.09,25809.37,23893.593
20131226,22316.558,20847.197,19969.548,19434.967,19366.264,19780.772,20953.903,21924.684,23287.669,25333.381,26601.192,27375.581,26922.675,25282.857,24750.013,24778.42,26275.309,29967.742,30302.473,30348.087,29907.531,28197.558,26252.393,23984.127
20131227,22549.042,20827.179,20016.13,19770.573,19914.474,20810.123,23527.738,26996.032,29377.223,31226.667,31483.506,31152.471,30105.652,29302.435,30035.154,30450.258,32316.45,36135.336,36321.841,35586.847,33335.983,30709.074,28063.378,25544.091
20131228,22911.453,21362.411,20241.959,19785.725,19779.394,20549.943,22594.225,25090.872,27205.102,29114.307,29263.892,29014.57,28252.607,27022.587,27157.663,27464.69,29272.803,33846.58,34350.762,34183.383,32498.134,30192.18,27520.638,24906.858
20131229,22226.192,20840.59,19737.796,19216.655,19100.216,19573.376,20937.765,22127.973,23570.246,25843.843,26476.762,27010.895,26589.85,25450.707,25250.294,25504.644,26803.557,30942.164,31885.05,31916.435,30921.178,28985.729,26831.685,24303.547
20131230,20982.244,19708.225,18977.791,18691.947,18886.784,19970.179,23038.671,27188.321,30154.553,31524.28,31368.235,31039.319,30136.48,29306.571,29958.566,30582.952,32690.017,36444.333,36041.96,35245.804,33302.395,30873.93,27712.9,24433.844
